T AMT 791600.00 200.0
Q AKR 263900.00 1.0 264100.00 1.0
T AUQ 419.00 100.0
Q AKR 264000.00 1.0 264500.00 2.0
Q AWI 5068.00 1.0 5092.00 1.0
Q AWI 508700.00 1.0 509000.00 1.0
T APO 3003.00 100.0
Q ABC 692500.00 3.0 692900.00 1.0
Q AWI 5080.00 1.0 5093.00 1.0
Q AWI 507400.00 1.0 510600.00 1.0
T AGN 963700.00 400.0
T AGN 963700.00 200.0
Q ABT 3796.00 13.0 3798.00 6.0
T AGN 9637.00 300.0
Q ABT 379600.00 6.0 379800.00 10.0
Q AWI 508700.00 1.0 509700.00 1.0
Q AWI 508700.00 1.0 509900.00 5.0
Q ASX 517.00 3.0 518.00 9.0
Q AVP 172400.00 12.0 172500.00 29.0
Q AEM 2909.00 1.0 2911.00 1.0
Q APO 3015.00 3.0 3026.00 4.0
Q AWI 5087.00 1.0 5099.00 1.0
Q ABT 3796.00 12.0 3798.00 6.0
T ABX 1810.00 100.0
Q AWI 5078.00 1.0 5106.00 1.0
T ASX 51600.00 100.0
T AEM 2910.00 100.0
T AEM 2910.00 100.0
Q AMT 7878.00 4.0 7896.00 1.0
T AEM 2908.00 100.0
Q AMT 789400.00 1.0 789600.00 4.0
Q AWI 5080.00 6.0 5121.00 1.0
T AEM 2908.00 100.0
Q AWI 5080.00 6.0 5105.00 6.0
Q AWI 5071.00 1.0 5102.00 4.0
T ALL 5428.00 100.0
Q AWI 5071.00 1.0 5094.00 1.0
T ALL 5428.00 100.0
T ALL 5428.00 100.0
T ALL 542800.00 900.0
Q AVY 4775.00 1.0 4778.00 3.0
Q ANH 448.00 17.0 449.00 7.0
T AEO 1562.00 100.0
Q AMX 2163.00 7.0 2164.00 12.0
Q AMX 2163.00 1.0 2164.00 5.0
Q AMX 216300.00 10.0 216400.00 20.0
Q AMD 351.00 64.0 352.00 33.0
Q AMX 216300.00 11.0 216400.00 20.0
T AEO 1562.00 400.0
T AGN 963900.00 100.0
Q ASH 8784.00 1.0 9163.00 1.0
Q ADM 4147.00 2.0 4148.00 3.0
Q ADM 4139.00 7.0 4148.00 3.0
T AGN 963900.00 100.0
Q ADM 4147.00 2.0 4148.00 4.0
Q AMX 2163.00 1.0 2164.00 10.0
Q ABT 379600.00 5.0 379800.00 6.0
T AMT 79140000.00 100.0
T AMT 791300.00 100.0
Q AMT 7893.00 6.0 7897.00 3.0
T ATW 5760.00 100.0
Q AGO 235400.00 8.0 235500.00 2.0
Q AEM 290900.00 1.0 291100.00 3.0
Q AVY 4773.00 2.0 4778.00 3.0
Q AIV 0.00 0.0 2636.00 9.0
Q AVX 134400.00 13.0 134600.00 5.0
Q ARR 412.00 23.0 413.00 2.0
Q ABT 3797.00 6.0 3798.00 5.0
Q ARE 6399.00 2.0 6418.00 2.0
Q AMG 20149.00 1.0 20227.00 1.0
T ANF 3442.00 178.0
Q AIV 2622.00 4.0 2628.00 1.0
T ANF 3443.00 100.0
T ANF 3443.00 100.0
T AKR 264200.00 100.0
Q AVG 1721.00 1.0 1729.00 3.0
Q ACN 778400.00 1.0 778500.00 4.0
Q ABB 2517.00 6.0 2519.00 1.0
Q ASG 532.00 1.0 537.00 1.0
Q AOL 459100.00 1.0 459600.00 1.0
Q AOL 4589.00 1.0 4595.00 1.0
Q AOL 4585.00 6.0 4599.00 6.0
Q AET 6442.00 1.0 6758.00 1.0
Q ACE 9825.00 1.0 9841.00 1.0
Q ATI 3383.00 2.0 3385.00 1.0
Q AOL 4593.00 1.0 4597.00 3.0
Q AGN 9638.00 1.0 9646.00 1.0
Q AGN 9638.00 1.0 9646.00 1.0
T AUY 94400.00 200.0
Q AGN 9638.00 1.0 9646.00 1.0
Q AOL 4591.00 2.0 4597.00 3.0
T AWI 506800.00 100.0
T AWI 506800.00 100.0
Q AWI 5068.00 1.0 5110.00 1.0
Q AEO 1569.00 17.0 1570.00 8.0
Q AIV 262500.00 1.0 262900.00 1.0
T ABT 3802.00 100.0
Q AIV 262500.00 3.0 262700.00 2.0
Q AOL 459100.00 10.0 459800.00 2.0
Q AOL 459200.00 1.0 459800.00 2.0
T ASH 9194.00 100.0
T ASH 9194.00 100.0
Q AWK 4303.00 3.0 4322.00 3.0
